label,text
negative,@JetBlue you quite possibly ruined my entire first day in South Florida bc of your disorganization. #GetItTogether
negative,@JetBlue I'm going to write a post on @Medium about the experience. Your customer service has tanked. #JetBlue
negative,"@JetBlue okay. Names of SJ crew are Alamo, Tatiana. Keep telling me to hold, then leave desk. Ali told me he couldn't help bc going on break"
negative,@JetBlue that is a stock response. Delays not as frustrating as poor cust serv &amp; being told by 3 ppl to wait &amp; they'd come back but did not.
neutral,@JetBlue Ricoh Smith at BOS provided oust and service
negative,@JetBlue just please get my luggage from #2070 onto carousel 5 / Logan Airport and I'll be able to go home!
negative,@JetBlue thanks for the response. Just been waiting for 5 hours and really frustrated. Seems like no one at JetBlue is concerned.
negative,@JetBlue Tx for the info. Just don't understand why you couldn't accurately estimate departure time earlier. Weather in ny is fine now.
positive,“@JetBlue: @FinleyBklynCFS So glad to hear. Thanks for sharing the video.” Me and JetBlue are #BFF 🙏
neutral,@JetBlue no m'good. Just get me home
positive,@JetBlue thanks for the response. We are hopeful.
negative,@JetBlue Update please on why flight 2601 continues to be further delayed
neutral,"@JetBlue ok, tx. Will tell the guy sitting next to me at the gate"
negative,@JetBlue all day
negative,@JetBlue how about free wifi on flt 1254 out of PBI to make up for 2.5 hr delay? Treat us right.
negative,@JetBlue why is flight 1106 delayed out to NY? Same problem?
neutral,@JetBlue Is that a guarantee? We'll see about that tomorrow morning when I have to fight for a seat.
negative,@JetBlue thanks for the update. 'Preciate it. Hope it gets here. Been delayed 2 days getting back
negative,@JetBlue yes. They are working on it. Hoping bag is on the next flight and will deliver home...
negative,@JetBlue WELL...my paid tickets have NO assigned seats at all. So essentially I won't be on this flight unless I pay more.
negative,@JetBlue If seats aren't guaranteed why do we pay for them? when I called the rep said some other people booked our seats.
positive,@JetBlue thank you for the refund of the change fee for a recent flight affected by our bizarre winter. Excellent customer service and focus
positive,@JetBlue thanks for help. Can't wait to travel with! And get out of the snow.
neutral,@jetblue the man with the smell left nd now there's this stupid girl asking me questions. can yall help.
negative,"FYI, @JetBlue: The last email response - ""we undrstnd this wasnt best 4 you"" -but hope 2 wlcm u back onbrd N the future...   nice touch. lol"
neutral,@JetBlue I think I have it selected already ☺️
negative,"@JetBlue last flight was Cancelled Flightled, then it was 2 hours to change a light bulb, now sitting here waiting for maintenance. Unreal."
neutral,@JetBlue that wasn't delayed or cabcelled
negative,@JetBlue I have to say that JetBlue has officially lost a customer. What a waste of all the points I have too! I am yet to be in a flight..
negative,@JetBlue I think it's safe to say that after 25 years of loyal #JetBlue flying we are officially DONE. #Byebyejetblue
neutral,"@JetBlue I have someone driving me, it's best to get a wheelchair once I get inside?"
neutral,@JetBlue finally! Finally!
negative,@JetBlue anything serious I should worry about?
positive,@JetBlue cool! Are there stairs at JFK? I can walk short distances but not stairs.
neutral,@JetBlue Think about it...boarding to a chill untz untz untz....like this http://t.co/lj2lARivE0...
negative,@JetBlue This is absurd. Should a stranger help my kids if there's a problem? #jetblue http://t.co/LAiGgef9Kj
neutral,@JetBlue I have a disabled seat in row 6 do I get to board earlier?
negative,"@JetBlue, thanks for not guarantee that you can not deli ever my bags to my hotel, when bag missed connection. #sFO #customerservicenot"
negative,@JetBlue you're lucky we're still flying you after today's landing gear failure. Get your act together and help us sit with our kids!
negative,@JetBlue so the prefference option is not something that you honor? So why having it as one of the services if not applied?
negative,"@JetBlue if you want to be helpful, find us a seat. Don't quote terms and conditions. #jetbluefail"
neutral,@JetBlue flight 1025 JFK to TPA 8:05am on Saturday! One way ticket!
negative,@JetBlue What's your excuse this time for 1117 delay from LGA to TPA? I know the plane is in the air.
negative,"@JetBlue if you can't guarantee parents will sit with their children, don't sell tickets with that promise! #jetblue http://t.co/HDoXiM6NZ2"
negative,@JetBlue once you go blue you don't go back
negative,@JetBlue why are there so many delays to north east cities?
negative,@JetBlue kids fly. Don't hire people who don't care about them. This guy. #jetblue http://t.co/clvlhfgUZw
negative,@JetBlue I shouldn't be made to feel like a criminal because I want to sit near my 5 year old on a flight. #jetblue http://t.co/qgtCao1J2U
negative,"@JetBlue Usually I have such a great experience with you guys? Very, very unhappy with you right now."
negative,@JetBlue why would you hire a guy who doesn't care about the safety of children? Not remotely acceptable. http://t.co/lKFh9HYHW8
negative,"@JetBlue what's up? Three delays so far, resulting in over three hours of unnecessary, extra waiting."
negative,@JetBlue never had an airline refuse to help sit parents with tiny kids. But this guy is willing to do it. #JetBlue http://t.co/MzZfGqfHu2
negative,@JetBlue it seems almost inconceivable that sitting a 5 year old alone is considered okay. But this guy thinks so. http://t.co/q9n6NZYSpK
negative,@JetBlue Third straight time that my flight has been delayed flying with you guys. This will be my last trip with you.
negative,"@JetBlue you've let me down. 2:15 delay at JFK because of inbound flight from Syracuse, really? #ishouldhavedriven"
negative,@JetBlue a 5 year old can't sit alone on a flight. This is absurd. And this guy is a dick. #jetblue http://t.co/2HXsDP0ha4
neutral,"@JetBlue Domestic.  To be clear -- I do not have to sit in (your lovely) terminal, just need to be there 1 hour prior to boarding?  Thanks!"
negative,@JetBlue thanks for NOT! Sending me an update that our flight was delayed 3 hours. Unbelievable!
neutral,@JetBlue the fact that #ChrisHasMadeUsBLUSH isn't trending is how you know I'm loyal ;)
negative,"@JetBlue @amybruni No wifi on this flight so we can't tweet you our Oscar party pics at 37,000ft. #bluecarpet :-( SEA✈️BOS"
negative,@JetBlue Thank you for the reply. Would've appreciated communication before checking in about the delay. JetBlue used to be my go-to
neutral,@JetBlue What confirmation number?
negative,@JetBlue where is it coming from? I thought Tampa?
negative,@JetBlue exactly why is my flight delayed? 599 BDL to DCA? Can't seem to get an answer
neutral,"@JetBlue is your partnership with Hawaiian live? Earn Hawaiian miles flying Jetblue ? IF so, how do I add @HawaiianAir to my JB Flight Booking Problems ?"
negative,@JetBlue at what point in delays can I take a different flight to my destination?
positive,@JetBlue thank you guys! You are the best! 🙌✈️
negative,"@JetBlue You just don't get it.  It's not about the money, It's about PEOPLE!!!! How about a public apology from the president of Jet Blue."
negative,@JetBlue does not fit in 140
positive,@JetBlue love it as always!
negative,"@JetBlue every time I look at the flight status, 30 more minutes is added to the delay. How about some points for trouble??"
neutral,"As soon as I can, sending my son home with you Saturday. @JetBlue"
negative,"@JetBlue hey awesome peeps, what's up with flight 1159 from Boston? Delayed 3hrs?"
neutral,@JetBlue is there wifi on he plain
positive,"@JetBlue what a great experience on flight from SFO to JFK; seats, service, food, everything is top quality. I will be back. Very soon!"
negative,"@JetBlue Flights 1384 and 1583. I have picked up twice this week for 1583, and both times it was delayed!! 😕"
negative,"@JetBlue What's up with delays to and from Boston today? My sister is trying to go home, and bro-in-law trying to come to RDU. Craziness!"
neutral,@JetBlue wondering if it's possible for my colleague and I to get on an earlier flight LAX&gt;JFK tomorrow. Can you help?
negative,@JetBlue 118 to Boston still sitting
positive,@JetBlue thanks for replying-I feel a little better we'll see how it goes ☺️✈️
neutral,@JetBlue I usually do-but I didn't make the Flight Booking Problems this time-that'll teach me! Yea I have that going for me at least haha
negative,@JetBlue I waited 3 hrs for my bags and my flight was only 2 hrs
negative,@JetBlue should I bother contacting them? I already checked into my flight 😕
neutral,@JetBlue early last month via Expedia-there's an extra middle name and initial attached to my last name
negative,"@JetBlue backlog is an hour at most, this is over two!  Unacceptable!!"
positive,@JetBlue you guys rock!
positive,@JetBlue my email is my twitter handle followed by gmail ☺👍👍
positive,@JetBlue Awesome! #bestairlineever
negative,@JetBlue no baggage crew update!  Your staff is incompetent with no answers after 2 hours....
negative,@JetBlue is blaming @TSA for flight 584 luggage debacle!  #luggagegate
negative,"@JetBlue Yoga it is. TV service seems to be down though :-(
I look forward to that do much!"
neutral,@JetBlue of course I am!!✈️
negative,@JetBlue You failed. That's the answer. Please don't justify otherwise.
negative,"@JetBlue come on! Already delayed 2+ hrs on flight 1415 as we waited for the pilot to come from Boston, now you reassign him?! Endless trip."
negative,"@JetBlue When I got your alert, I immediately started looking to rebook. But we only had 11 minutes from reFlight Booking Problems to catch a flight to SRQ."
positive,@JetBlue I only fly Jet Blue
positive,@JetBlue Start including PTO in your getaway packages and I'm all in
positive,@JetBlue thanks. I will use the extra time to do some more shopping! Did somebody say duty free?
positive,@JetBlue's flight Flight Booking Problems experience is pretty great!
negative,@JetBlue still waiting to board and see if they will give us the exit row.
positive,@JetBlue thanks for making my trip home #MintyFresh next #brandmance flight I'll take more selfies! #LOVE #travel #business
negative,@JetBlue if my flight was delayed can I show up at the airport with the appropriate amount of time for the delay or do I have to go on time?
negative,@JetBlue I'm over that honestly just would like to get going on the journey.
negative,"@JetBlue If that was the case, why did your alert arrive so Late Flight? Four-hour delay? Don't buy it."
negative,@JetBlue our flight out no Tv. Now our flight back not seated together. B6 620. Maybe our fault still no fun.
negative,@JetBlue I don't believe so. That's not what the team has told us.
negative,@JetBlue also not have food available even for purchase is quite shocking since this is a 5 hour international flight.
neutral,@JetBlue I have a reservation for tomorrow morning but trying to get back 2 night bc other flight was going to jfk. Can I get on list at CTG
negative,@jetblue  Flight 1562 is still waiting for bags. Most of us checked in 12 hours ago. People are missing connections.  Please help!
neutral,@JetBlue any way to get 2 ppl on standby list for flight 1970 FLL to BOS. Trying to find way home.
negative,@JetBlue Something to think about when you are dealing with PEOPLE!!!!!  Just wrong.  No excuses. Figure it out &amp; expect the unexpected
negative,@JetBlue I understand but wish you would have announced the delay 2 hours earlier vs sitting for 2 hrs at MCO
negative,@JetBlue what gives? Delayed over 2 hours at MCO to JFK. Every time!
positive,"“@JetBlue: @2littlebirds Well captured, Brittany! We love the clouds! :)  Enjoy the ride!” Thank you!"
negative,@JetBlue My wife was with our dog.  They wouldn't even let her out off the plane.  My daughter was at Newburgh lives close by. So wrong
negative,"@JetBlue According to your ground staff, it hasn't even been taken off the plane yet!"
negative,.@JetBlue thanks for making an effort. Credit where credit is due: flight 795 delayed 5 hours instead of 8 hours. #fwiw #loweredexpectations
negative,@JetBlue At what time?  All these passengers were sitting on a hot plane with no air and no communication for over 2 hours. Just wrong
negative,"@JetBlue flight delayed at JFK 2 hours, then 3 hours, then 8.5 hours? Now it's back to 5 hours with no explanation or apology?"
positive,@JetBlue thanks! Have a good Sunday.
negative,"@JetBlue Flight 1562 had a 4 1/2 hour weather delay, but what is the 45 minute delay in getting bags to tired passengers?"
negative,@JetBlue 5hrs on Tarmac yest b4 Cancelled Flight @12am.Today 3+ hr delay. Why not send txt/email re: JFK closed &amp; saved all trip 2 sit @airport again?
negative,"@JetBlue flying out of BUF 2 BOS, missing captain... Really? Delayed til 2:00... Not happy..."
neutral,His name is Enzo 😊 RT @JetBlue : @Setorii Well hello there pooch! What's your name? #dog http://t.co/dLh9138HBg
negative,"@JetBlue I know, but I wanted to pass it along. Not good for the ""T5 experience"" esp for someone who flies 2-3 times a month."
neutral,@JetBlue Flight 136 departed Phoenix at 1:30 am
negative,@JetBlue So what about the plane stuck in Newburgh won't start.  It that weather reLate Flightd as well.  These passengers on plane for 10 hrs.
negative,"@JetBlue, your hold music sucks."
neutral,@JetBlue Customer of the year? http://t.co/epqqONHO2H
negative,"@JetBlue JFK T5 north check in. 3 bag drop ladies, 1 has been checking in someone for the entire time; another doing check ins too."
negative,@JetBlue no excuse though for 3 gate changes though.
negative,@JetBlue nope. This 8:45am flight is now not leaving until almost 5pm. 5! I can't believe I paid money for this.
positive,@JetBlue thank you. We are finally at the gate.
positive,@JetBlue flight to Orlando is unable to serve hot bevies.... So they've made movies and alcohol complimentary. That works
negative,@JetBlue @CookJaycook123 the only update we get is that they have no idea when we will get an update. Way to go. #hopeless
negative,@JetBlue @Amagrino will you cover the cost of my car service waiting time?!
neutral,@JetBlue don't I always?
negative,"@JetBlue this is ridiculous we are on 1.5 hours coming up of waiting to deplane, there are are newborns on board"
negative,@JetBlue too Late Flight. Several passengers are inebriated. You're in league with big alcohol. Shame on you.
positive,@JetBlue they were amazing and thank you!
negative,"@JetBlue there was a closure? People here need to inform passengers, not send them gate to gate w no info on boards re: updated departures"
negative,@JetBlue according to jfk plenty of planes are landing. No problem there
positive,"@JetBlue she helped me with my problem so easily and was so nice, you guys rock!"
negative,"@JetBlue where is the ""award winning service""?"
negative,@JetBlue how much longer to JFK open's I am a diabetic and I need sugar plane don't have nothing
negative,@JetBlue flight 16 now sent back to the gate even though the app says its leaving. Anyone have a clue? It's 36 and sunny at JFK
negative,@JetBlue u guys have 2b kidding. No help anywhere. 5 hour delays? Still no answers. Bad cust service. #idlovetoask http://t.co/DPX3yoGTEj
negative,@JetBlue they are now being sent off the plane? Does anyone at JetBlue have a clue?
negative,"@JetBlue unfortunately I was so startled and rushed, I didn't get the name, but will provide a description in my expanded email.  Thank you"
negative,@JetBlue just a very rude rep while trying to book family vacation using trvl credit. on phone w/ new rep now who is being very helpful
negative,@JetBlue it's sunny and gorgeous in ny actually. What's the real reason?
positive,@JetBlue things happen it's ok just wish I was on the beach and not in the airport
negative,"@JetBlue it's been 3 hours, why have you not sent the plane from the hangar for flight 1533 at JFK? This is absolutely ridiculous."
neutral,@JetBlue any idea when the flight will actually take off?
positive,@JetBlue I love #JetBlue ! #FlyFi when will we be able to charge our devices on domestic #A320 flights?! Thanks! http://t.co/obqIro1bUJ
negative,@JetBlue still sitting in plane in Newburg. This is getting #ridiculous. No way to treat #loyal customers.
positive,@JetBlue Touchdown JFK! Well done pilots of JetBlue Flight 226! #JetBlueRocks
negative,@JetBlue what's the delay if the system isn't down?
negative,@JetBlue don't think any1 rly knows what's goin on. supposed 2 leave at 8:30a then 9a then 9:30a then 10a then 11a then 11:30a. Now 12
negative,@JetBlue That is not very gracious of @jetblue to tell me where I can go BUY water or a snack when our flight is delayed over 3 hours.
neutral,@JetBlue and ask she load the bag for my flight
negative,"@JetBlue after applying my new tag, she left my bag on the ground rather than loading on the conveyer belt..I had to walk back 50 yards"
negative,@JetBlue get flight 16 into the air
negative,@JetBlue That's not weather reLate Flightd.  You are just being nice and blaming the weather.  Airport just wasn't prepared. Investigation time.
positive,"@JetBlue if I had my tux, it'd be a date! #UMosaicMeCrazy http://t.co/hap4gboSTU"
positive,@JetBlue Thanks for the personalized customer service! #cannedtweet #autoresponse
negative,@JetBlue I'm also a mosaic customer and fly jet blue ALOT....
negative,@JetBlue It's not so much the delays as the fact that the flight is still coming up as on time on your app. Just give us an honest estimate
negative,@JetBlue she waved someone behind me to step forward although I explained what happened and indicated my need to make my flight
negative,@JetBlue #489. Flight #589 is departing before we even board
positive,@JetBlue I knew there was a reason u were my favorite airline. Just read you answer on twitter in globe this morning. Great job
negative,"@JetBlue here's part: was at bag drop inserted my JetBlue cc, didn't print pass. Agent standing in front of me refused to print my pass"
positive,@JetBlue it's only because I'm wearing #TrueBlueColors!
neutral,@JetBlue flight16?
negative,@JetBlue That's not what I heard. Weather was fine this morning. Flight 136 was circling for some time.Someone forgot to clean the runway.
negative,@JetBlue how can your entire system go down? No IT? Really?
negative,@JetBlue Appreciate the heads up at 10:45 that my 11am flight was delayed bc the crew is stuck in Boston #communicationFAIL #dobetterJetBlue
positive,"@JetBlue yup we know, not your fault, just not ideal sittin for over an hour but as always your staff is great!"
negative,"@JetBlue just had a horrible experience with check in agent at fort myers, I'll document and send details, off to Boston"
negative,"@JetBlue flt1533 to Carta what is goin on?! 1st told plane coming from hangar, then gate change, now no one knows wat plane we're getting on"
neutral,@JetBlue have a cpap machine for sleep apnea. Is this OK to carry on if I also have a small bag for clothes?
positive,@JetBlue got it. thanks the quick reply.
negative,@JetBlue isn't this something YOU should do?!  Why should I tell your crew how to do their job?
positive,@JetBlue had a great experience working with Glenn Coles at Buffalo-Niagara Airport!! Top notch employee
positive,"@JetBlue well, the last update was in the right direction, at least! I'll keep my fingers crossed."
negative,@JetBlue Are there airport-wide delays at BOS or did we just get unlucky with 152?
neutral,"@JetBlue I hear you and safety is #1! I think we can get to JFK though now so let's help the pilots, passengers &amp; crew get there safely!"
negative,@JetBlue woulda been nice of you to let us know that or post it!!! Your boards still show the flight on time!!!
negative,"@JetBlue  hmmm it says im following you. We just got de-iced, but still haning around for the runway to clear.."
positive,@jetblue always #mosaicmecrazy #sunrise #bestairline #nofilterneeded &amp; how can you not love #FlyFi… http://t.co/NY6CS7jRuV
negative,"@JetBlue flt 136 from PHX. Delayed 2 hrs, circle 1 hr, divert to upstate NY, just sitting for 1 hr No communication #horrible"
positive,@JetBlue they miraculously fixed the plane #kudos to shoe ever it was
negative,@JetBlue ..... No crew at our gate.
positive,@JetBlue 😭😭😭😭 yall are really better then American Airlines though.
negative,@JetBlue why don't YOU tell them to update the boards?!
positive,What can I say other than when it comes to my #BrandLoveAffair w/ @jetblue ur my #soulandinspiration https://t.co/IGkoGyWksr #umosaicmecrazy
negative,"@JetBlue Issue is JFK. Pilot explained once JFK reopens we can get scheduled back there, but why can't we divert to LGA? Closer than ACY!"
negative,@JetBlue you want me to talk to the wall?
negative,@JetBlue Its poor Flight management. There is   no reason why a scheduled 8:00  pm  flight to takr off At 11:00pm .
neutral,@JetBlue hi is there a way we can check to track the flight that will arrive &amp; that will be our flight to depart.
positive,"@JetBlue done, thank you!"
neutral,@JetBlue  will do.
negative,@JetBlue why is my 910 flight listed on time when its 904AM and I'm not on the plane yet? http://t.co/iEG2ObcEpp
neutral,@JetBlue ok should I start looking into other flights?
negative,@JetBlue ok we got as far as Atlantic City due to JFK being closed. Can you get us to HPN or LGA?? Please?
negative,@JetBlue we need an ETA please
neutral,@JetBlue you can 100% confirm that?
negative,@jetblue fly 2301 delayed do to ice at JFK ... Can I switch to a Late Flightr flight for free
negative,@JetBlue  I'm at 4:05  will be nasty in Boston. Have family driving 90 min to pick me up from Erie think flight - what if Cancelled Flighted?
negative,@JetBlue @fllairport best way to kill nine hours at the airport when all flights are full and the airline won't put you standby? #stranded
negative,"@JetBlue I travel for business twice a week and after the @AmericanAir fiasco, I'll be flying blue more often. Thanks."
neutral,@JetBlue we are on flight 751 and were returning to the gate can you provide any information?
negative,@JetBlue suck and their customer services are the worst  whats the point of having a loyalty scheme that they don't honor #badairline
negative,@JetBlue how about an update on flight 475 leaving tf green delayed
negative,@JetBlue that's where we all get on the same page. Cancelled Flighted it 45 mins ago. @delta @SouthwestAir help flights from @tfgreenairport to MCO?
positive,@JetBlue okay thank you! I'll check with them again!
negative,@JetBlue some woman stole my seat on the plane but I was the one that had to sit elsewhere. Is that standard protocol?
positive,"“@JetBlue: @sylvie75015 Good morning, Sylvie! Have a great flight! #yourock” &gt; Thank you #JetBlue! @mxo42 @henrikwagner73 #JetBlueRocks"
positive,@JetBlue They just came out. Thanks for the follow-up. That's why you're the best!
positive,@JetBlue Thanks! See you soon!
negative,"@JetBlue Yep, still waiting for bags at #JFK. What's the holdup? Looks like we are the only flight that got in at this time..??"
positive,@JetBlue thanks for getting us to NYC -JFK really safely. :-) But srsly? How long does it take to get our checked bags? #eternity #5amMisery
neutral,@JetBlue should I expect delays at dca for 7am departure?  Going to Orlando on flight 723
negative,@JetBlue full the six of us had to leave flight. And now have to wait a whole day to get a flight and my kids will miss school.
negative,@JetBlue no. Not boarding order. Someone boarded with. Service Animal which a member of my party was allergic to and because the flight was
negative,@JetBlue it's ridiculous that I just got home and I was supposed to land 3 hours ago bc I am HELLA tired
negative,@JetBlue just lost very loyal customers who use them 4-10 times a year.
positive,@JetBlue thanks for the response - when is the next flight after the 9:48 flight?
negative,@JetBlue Highlight of my travel is 3 hour delay and de-icing twice. Now sitting in bumper to bumper traffic in taxi to finally get home. 😒
positive,@JetBlue great flight on a brand new jet. Great seating. Beautiful plane. Big fan of this airline.
negative,@JetBlue a voucher.. I can't believe I took this risk. Not only was the plane terribly filthy and I had 15 screaming babies in my face..
neutral,@JetBlue @SouthwestAir @VirginAmerica @AmericanAirBR download jeokoo the American app for air travelers
positive,@JetBlue thank you! I know the weather in #Boston isn't great. Everyone's tired
negative,@JetBlue I've spoken 2/emailed JB team and explained situation. Didnt seem to matter to anyone other than me. I guess I just expected more.
neutral,@JetBlue I know you guys are super busy but is flight 1222 an a320 or e190?
neutral,@JetBlue Follow me pls?
negative,@JetBlue Shocked by misbehavior and cheap comments from jet airways staff to passenger at Delhi Airport Friday boarding to Dubai. Disgusting
negative,@JetBlue you have to service your remote controllers on my flight I watched equalizer (movie) THREE times because my remote was stuck
negative,@JetBlue I'm curious to know how do you compensate for passengers missing engagements due to a two hour wait on the tar-mat to get to a gate
positive,@JetBlue thank you thank you!  I finally set up the jetblue app!  Yay!
negative,@JetBlue everytime I come back to Boston it's a minimum 45 min wait for bags. Earlier it was almost an hour. Why is it only Boston jetblue?
positive,@JetBlue Thanks for taking me back home today despite Pandora's best efforts to Cancelled Flight the flight. #jetblue #backhome #noplacelikehome
negative,@JetBlue that is not what your employee at Logan told me. I finally got one to meet my daughter on her first solo flight after rude rep :(
negative,@JetBlue I am But Your customer service is Brutal.
neutral,@JetBlue Airways to continue 'various commercial relationships' with #Lufthansa ... - @CAPA_Aviation http://t.co/vGqOihtRkH
positive,@JetBlue is amazing. Had a short delay. They gave me $150 credit! It was literally pretty much my fault I missed the flight.
negative,@JetBlue flight attendant was hesitant to give me more baby sized cookies
negative,@JetBlue Y U NO LET ME OUT AND MAKE FUN SIZE COOKIES #stuckonaplane #sos #babyfood
neutral,@JetBlue is that supposed to change in the near future?
positive,@JetBlue thank you
neutral,@JetBlue I will when I land.
negative,@jetblue I missed a goal On @NHLonNBCSports because of your Inept male stewardess. I should have landed already but I havent taken off yet.
neutral,@JetBlue do bags still fly for free anymore?
negative,@JetBlue can you let me know status of flight #454 PBI-JFK delayed 2.5hours now on board problem with hatch..
negative,"@JetBlue  thanks for response! Crew has been VERY patient with us, but they are also frustrated. Wouldn't be so bad but airport is closed!"
neutral,@JetBlue flite454
neutral,@JetBlue when will you release flights for February 2016?
negative,@JetBlue we are well aware. Insufficient info. No options.
negative,@JetBlue still waiting for bags from flight 26. It landed an hour ago.
negative,@JetBlue flight 790 you had us stuck on the plane for nearly 4 hrs. Set to take off only for flight control to deny us. THE WORST SERVICE
neutral,@JetBlue I would love to Fort Lauderdale now that would cool.
positive,@JetBlue @L_Burley11 -- the best!!!
positive,@JetBlue thanks for bringing my son home to me.
positive,@JetBlue you got yourselves hot ladies flying the air for life #loyal
positive,@JetBlue nothing but praise for you helping our lady make her flight to CHS tonight!  #impressed
negative,@JetBlue she did. she's still waiting on a callback....the lack of follow through is what's concerning. smh
negative,@JetBlue she has...she hasn't heard from anyone in over a week. a nonstop flight and her baggage was lost/stolen. customer service 👎
negative,@JetBlue we got our luggage after waiting 40 mins and went home right after. Not very family and ADA friendly waiting that long w no chairs.
neutral,@JetBlue I flew on a flight about 3 months ago. Me and my girlfriend got away with having sex in a restroom. Is it allowed now?
positive,@JetBlue thanks so much. Can't wait to fly with you guys :)
positive,"@JetBlue OK, thank you."
positive,@JetBlue thanks for a speedy flight time recovery.
positive,@JetBlue thank you for taking care of me with a drink since my in-flight entertainment wasn't working #goodcustomerservice
neutral,@JetBlue Are we able to change to an Even More Space seat after we've checked in online? Have a flight tmrw and can't seem to change my seat
positive,@JetBlue would you say a delay is more likely? Thanks so much.
neutral,@JetBlue what are the chances of one of your flights leaving at 6am out of Newark nj being Cancelled Flightled tomorrow?
positive,"@JetBlue If you ""follow"" me, I will be able to DM you.  Thanks."
neutral,@JetBlue Tomorrow wouldn’t have been soon enough! Thank you for the info!
negative,"@JetBlue figured it out 4 flight 2morrow. Hard to believe with oil so low, and the killing u make that even part of a hotel can't be comp'd"
positive,@JetBlue I want to give a warm thanks to your crew at Logan airport for still getting me to the DC area after Cancelled Flightlations this morning!
positive,"@JetBlue Another awesome telephone experience with @JetBlue Thank you, Cory! #Greatcustomerservice✈☺"
negative,@JetBlue disappointed with the missed connection from ROC to SLC and no reimbursement even tho friend who is a pilot said it was due to ATC
positive,@JetBlue thank you!
positive,@JetBlue he just went above and beyond to be helpful
positive,@JetBlue is the best!  Can't wait to use my travel bank $ for a FUN trip.
positive,@JetBlue just touched down in #NewOrleans for the annual @HeinekenUSACorp national distributor conference! #livethelegend
neutral,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Daily Journal http://t.co/9bzqZQx8DC
neutral,@JetBlue Boston gate C12
neutral,@JetBlue will I be charged a fee to do so?
neutral,@JetBlue thanks. Can you change the music in the boarding gates?
negative,@JetBlue what crew? No one here is helping.
negative,"@JetBlue no, we are at a hotel.  Also, Jetblue lost my daughters luggage.  How do you lose luggage if the plane never actually left!!!"
positive,@JetBlue thanks for your prompt response. I know you put safety first. Unfortunately will hit freezing rain/sleet on ride home.
positive,@JetBlue ok!!! That's super helpful. Thank you. I'll reach out if I have any other questions.
positive,"@JetBlue Thanks for the instant reply, and for still doing first bag free (so important)!"
negative,"@JetBlue lipstick on a pig still a pig. Ur new baggage claim @ SJU is a disaster. No chairs, 20 mins+ wait for baggage. #fail"
negative,@JetBlue no more than half an hour wait. It's unreal. Finally first bag coming out. SJU needs to work on this
neutral,@JetBlue What's your current checked bag price policy?  I fly this coming week and couldn't find anything definitive.
neutral,@JetBlue are we scheduled to depart as scheduled?
negative,@JetBlue how long does it take for a bag to get to the baggage belt!!!!!#toolong of a wait
negative,@JetBlue we've been delayed and delayed here in Palm beach... Need to head to Westchester. Can you give me some info?
negative,"@JetBlue Hey Jetblue, you stranded an entire plane that was supposed to go to JFK and we are getting restless.  Need better communication!"
neutral,@JetBlue Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?
positive,@JetBlue Exciting times ahead! 😁🎉
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Xf9MPnAaJE
negative,@JetBlue your website is seriously horrible and so is your  call center!! Almost makes it tempting to fly someone else!! #sodone
negative,@JetBlue why haven't you allowed for flight changes into the NY area airports tonight?  Everyone is saying travel is treacherous.
positive,@JetBlue Counting on your flight 989 to get to DC!
neutral,@JetBlue You guys need pillows on these rockers to really knock it out of the park ... just sayin ...
negative,"@JetBlue there is no supervisor available, so they couldn't do anything."
negative,"@JetBlue I now learned that customer service at SXM works for the airport, not JetBlue. They need a supervisor to do anything."
neutral,@JetBlue status of flight 684 from MCO to LGA tomorrow?
neutral,@jetblue what good with the inflight WiFi?
negative,"@JetBlue we tried. They're not at all helpful. Terrible customer service, at this airport, at least."
negative,"@JetBlue making a bad situation worse. Cancelled Flighted flight, making us stay overnight in SXM. Won't provide vouchers to stay in a different hotel"
neutral,@JetBlue what's the status of flight 1272 diverted to RIC?  When will it depart back for LGA?
negative,@JetBlue You already Cancelled Flightled the one b4 us to DCA
negative,"@JetBlue It is physically impossible to make it to the airport, and our flight is scheduled to leave in less than 3 hours."
negative,@JetBlue at what point do u Cancelled Flight flights to DCA- other airlines have already Cancelled Flightled
positive,@JetBlue you can't beat jetblue in space's matter http://t.co/NRpWmGyv3e
positive,@JetBlue Great thank you!
negative,@JetBlue we want room and food allowances. Agents are refusing to give us vouchers to use at rooms we book ourselves.
negative,@JetBlue hopefully this flight Seattle to Boston 2pm will have wifi. Our first one did not and we had to entertain ourselves! #lizaapproved
neutral,@JetBlue Hey! Check it out!! It's snowing in Boston. Who could have predicted such a thing?! http://t.co/ufyxXkIsa3
positive,"Cool thx! Only a couple more #PGAShow flights til I'm #Mosaic...can't wait. Will be easier to change flights when weathers bad
@JetBlue"
neutral,@JetBlue Phew!! Did it!! (Pant. Wheeze) http://t.co/ZPZ78POeON
positive,"@JetBlue thanks so much for help Us, u r amazing!"
neutral,@JetBlue actually flight 1089 not 1098
neutral,@JetBlue BOS to DCA 1098 at 7:16 pm.
negative,@JetBlue I've been in pricing for 8 years to know that 70 bucks a seat is criminal. 20-30 I understand. #pricing #flying #jetblue #pricewise
negative,@JetBlue *cough* #awkward!
negative,@JetBlue you guys need live chat.
